Name,City,State,Category,Population
"Roanoke, Virginia",Roanoke, Virginia,city,216177
"Williamsburg, Virginia",Williamsburg, Virginia,city,80855
"Front Royal, Virginia",Front Royal, Virginia,city,19668
"Alexandria, Virginia",Alexandria, Virginia,city,160035
"Norton, Virginia",Norton, Virginia,city,10451
"Vienna, Virginia",Vienna, Virginia,city,16544
"Lynchburg, Virginia",Lynchburg, Virginia,city,125004
"Emporia, Virginia",Emporia, Virginia,city,6366
"Woodstock, Virginia",Woodstock, Virginia,city,7175
"Richlands, Virginia",Richlands, Virginia,city,8768
"Poquoson, Virginia",Poquoson, Virginia,city,12053
"Bedford, Virginia",Bedford, Virginia,city,7173
"Abingdon, Virginia",Abingdon, Virginia,city,7981
"Franklin, Virginia",Franklin, Virginia,city,8773
"Hopewell, Virginia",Hopewell, Virginia,city,22621
"Buena Vista, Virginia",Buena Vista, Virginia,city,6219
"South Boston, Virginia",South Boston, Virginia,city,7929
"Christiansburg, Virginia",Christiansburg, Virginia,city,22259
"Colonial Heights, Virginia",Colonial Heights, Virginia,city,17830
"Newark, Delaware",Newark, Delaware,city,33858
"Milford, Delaware",Milford, Delaware,city,20864
"Middletown, Delaware",Middletown, Delaware,city,34132
"Millsboro, Delaware",Millsboro, Delaware,city,10578
"Seaford, Delaware",Seaford, Delaware,city,7750
"Lewes, Delaware",Lewes, Delaware,city,27087
"Elsmere, Delaware",Elsmere, Delaware,city,6045
"Georgetown, Delaware",Georgetown, Delaware,city,10255
"Wilmington, Delaware",Wilmington, Delaware,city,71106
"Ocean View, Delaware",Ocean View, Delaware,city,13809
"Dover, Delaware",Dover, Delaware,city,115352
"New Castle, Delaware",New Castle, Delaware,city,5348
"Smyrna, Delaware",Smyrna, Delaware,city,11584
"Washington, District of Columbia",Washington, District of Columbia,city,5289420
"Kaukauna, Wisconsin",Kaukauna, Wisconsin,city,16086
"Oconomowoc, Wisconsin",Oconomowoc, Wisconsin,city,16717
"Verona, Wisconsin",Verona, Wisconsin,city,13107
"Platteville, Wisconsin",Platteville, Wisconsin,city,12470
"Rice Lake, Wisconsin",Rice Lake, Wisconsin,city,9393
"North Fond du Lac, Wisconsin",North Fond du Lac, Wisconsin,city,5070
"Windsor, Wisconsin",Windsor, Wisconsin,city,7057
"Howard, Wisconsin",Howard, Wisconsin,city,19634
"Burlington, Wisconsin",Burlington, Wisconsin,city,24687
"Chippewa Falls, Wisconsin",Chippewa Falls, Wisconsin,city,14035
"Waupaca, Wisconsin",Waupaca, Wisconsin,city,7521
"Lake Geneva, Wisconsin",Lake Geneva, Wisconsin,city,15078
"Fitchburg, Wisconsin",Fitchburg, Wisconsin,city,29485
"Merrill, Wisconsin",Merrill, Wisconsin,city,9750
"Monona, Wisconsin",Monona, Wisconsin,city,8104
"Beaver Dam, Wisconsin",Beaver Dam, Wisconsin,city,18003
"Little Chute, Wisconsin",Little Chute, Wisconsin,city,11403
"Baldwin, Wisconsin",Baldwin, Wisconsin,city,5894
"Mount Pleasant, Wisconsin",Mount Pleasant, Wisconsin,city,26525
"Shorewood, Wisconsin",Shorewood, Wisconsin,city,13338
"Columbus, Wisconsin",Columbus, Wisconsin,city,6675
"Fox Crossing, Wisconsin",Fox Crossing, Wisconsin,city,10980
"Beloit, Wisconsin",Beloit, Wisconsin,city,63498
"Greenfield, Wisconsin",Greenfield, Wisconsin,city,36827
"Greendale, Wisconsin",Greendale, Wisconsin,city,14159
"Suamico, Wisconsin",Suamico, Wisconsin,city,12816
"Pewaukee, Wisconsin",Pewaukee, Wisconsin,city,8177
"Fond du Lac, Wisconsin",Fond du Lac, Wisconsin,city,54629
"Hartland, Wisconsin",Hartland, Wisconsin,city,9279
"Edgerton, Wisconsin",Edgerton, Wisconsin,city,7363
"Hartford, Wisconsin",Hartford, Wisconsin,city,15064
"Elkhorn, Wisconsin",Elkhorn, Wisconsin,city,12322
"Rhinelander, Wisconsin",Rhinelander, Wisconsin,city,8738
"Baraboo, Wisconsin",Baraboo, Wisconsin,city,13891
